Survived,Pclass,Age,SibSp,Parch,Fare
1,3,26.0,0,0,187.875
0,2,38.0,0,0,13
0,1,64.0,0,0,26
0,2,34.0,0,0,13
0,3,25.0,0,0,7.05
0,1,62.0,0,0,26.55
0,1,54.0,0,0,518.625
0,1,71.0,0,0,495.042
1,2,6.0,0,1,33
0,3,7.0,4,1,29.125
0,2,52.0,0,0,13.5
1,2,24.0,1,2,65
0,2,18.0,0,0,11.5
1,1,51.0,1,0,779.583
0,3,30.5,0,0,7.75
1,2,30.0,0,0,13
0,3,21.0,0,0,8.05
0,2,19.0,0,0,13
0,3,9.0,4,2,31.275
1,3,3.0,4,2,313.875
0,1,56.0,0,0,26.55
0,3,38.0,0,0,78.958
0,3,18.0,0,0,7.775
0,3,24.0,0,0,7.05
1,2,29.0,1,0,26
0,3,25.0,1,0,7.775
1,2,54.0,1,3,23
0,3,40.0,0,0,7.225
0,3,24.0,0,0,78.958
1,3,2.0,0,1,122.875
0,3,21.0,0,0,7.925
0,3,17.0,0,0,7.125
0,3,24.0,1,0,16.1
1,2,17.0,0,0,12
0,3,30.0,0,0,7.25
0,3,40.5,0,2,14.5
0,3,35.0,0,0,8.05
0,1,50.0,1,0,106.425
1,3,19.0,1,0,78.542
0,3,30.0,0,0,86.625
1,3,26.0,0,0,564.958
0,2,25.0,1,2,415.792
0,2,32.5,1,0,300.708
1,2,42.0,0,0,13
1,3,31.0,1,1,20.525
1,2,33.0,1,2,27.75
0,3,21.0,0,0,7.925
0,2,57.0,0,0,12.35
0,3,29.0,1,0,70.458
1,3,27.0,0,1,12.475
1,3,13.0,0,0,72.292
1,1,36.0,0,0,1.356.333
0,3,26.0,0,0,8.05
1,2,32.5,0,0,13
0,2,26.0,0,0,10.5
0,3,42.0,0,0,86.625
1,1,42.0,0,0,227.525
1,1,21.0,2,2,262.375
0,3,9.0,3,2,27.9
0,3,36.0,0,0,74.958
0,2,34.0,1,0,26
0,3,42.0,0,0,7.55
0,1,45.5,0,0,28.5
1,1,23.0,3,2,263
0,3,3.0,3,1,21.075
1,2,27.0,1,0,138.583
1,1,39.0,1,1,79.65
1,2,24.0,0,2,14.5
1,1,34.0,0,0,26.55
0,3,47.0,0,0,9
1,3,5.0,0,0,12.475
0,2,24.0,0,0,13
0,3,35.0,0,0,8.05
0,3,21.0,0,0,16.1
1,1,28.0,0,0,35.5
0,3,9.0,4,2,313.875
0,2,18.0,0,0,73.5
0,3,22.0,1,0,7.25
0,3,38.0,0,0,7.05
0,3,20.0,0,0,78.542
1,3,9.0,1,1,15.9
1,3,0.75,2,1,192.583
0,3,30.0,1,1,24.15
1,2,45.0,0,0,13.5
1,1,26.0,0,0,30
1,3,29.0,0,2,152.458
0,3,2.0,4,1,396.875
0,3,35.0,0,0,78.958
1,3,29.0,0,0,7.75
0,2,23.0,0,0,13
0,3,21.0,1,0,9.825
0,3,24.0,0,0,77.958
1,1,15.0,0,1,2.113.375
1,3,5.0,2,1,192.583
0,3,22.0,0,0,9
0,3,32.0,0,0,7.75
0,3,21.0,0,0,7.8
1,3,15.0,1,0,144.542
0,1,19.0,1,0,53.1
0,2,23.0,0,0,13
1,2,0.67,1,1,14.5
1,1,50.0,2,0,133.65
1,3,18.0,0,0,74.958
1,1,63.0,1,0,779.583
1,1,49.0,0,0,259.292
1,2,25.0,0,1,26
0,1,36.0,1,0,78.85
0,3,23.0,0,0,9.225
0,2,39.0,0,0,13
1,1,56.0,0,0,35.5
0,1,40.0,0,0,277.208
0,3,39.0,0,0,24.15
1,2,18.0,0,1,23
0,3,7.0,4,1,396.875
1,1,27.0,1,0,53.1
0,1,47.0,0,0,255.875
0,1,42.0,1,0,52
1,2,25.0,1,1,30
0,3,51.0,0,0,7.75
1,2,1.0,0,2,370.042
0,1,36.0,0,0,40.125
0,1,70.0,1,1,71
0,1,2.0,1,2,151.55
0,3,18.0,0,0,77.958
1,1,52.0,1,0,782.667
1,2,24.0,0,0,13
1,1,22.0,0,2,49.5
1,2,13.0,0,1,19.5
0,3,44.0,0,0,8.05
0,3,18.0,0,1,144.542
0,3,18.0,1,0,17.8
1,3,0.75,2,1,192.583
0,3,40.0,1,4,27.9
0,3,31.0,0,0,7.75
1,1,24.0,3,2,263
0,2,42.0,0,0,13
1,2,31.0,0,0,13
0,3,35.0,0,0,7.125
1,2,3.0,1,1,18.75
0,3,44.0,0,1,16.1
1,2,2.0,1,1,26
0,3,61.0,0,0,62.375
1,2,31.0,1,1,26.25
1,3,0.42,0,1,85.167
0,1,37.0,0,1,29.7
0,3,17.0,0,0,86.625
0,3,30.0,0,0,72.292
1,1,48.0,1,0,39.6
0,1,65.0,0,0,26.55
1,2,28.0,0,0,13
1,2,19.0,0,0,10.5
0,3,25.0,0,0,7.225
1,3,19.0,0,0,78.792
1,1,35.0,0,0,26.55
1,3,29.0,0,0,9.5
0,1,50.0,1,0,55.9
1,1,48.0,1,0,767.292
1,2,14.0,1,0,300.708
0,3,28.0,0,0,78.542
1,2,32.0,1,0,26
1,3,32.0,0,0,564.958
1,3,26.0,0,0,78.542
0,3,39.0,1,5,31.275
0,3,33.0,0,0,7.775
0,2,27.0,0,0,26
0,3,43.0,1,6,46.9
0,2,52.0,0,0,13
1,3,20.0,1,0,7.925
0,2,36.0,1,2,27.75
1,3,32.0,0,0,564.958
0,3,41.0,0,2,202.125
0,2,35.0,0,0,10.5
0,2,37.0,1,0,26
1,1,28.0,0,0,26.55
1,3,21.0,0,0,77.958
1,3,1.0,1,2,20.575
1,3,22.0,0,0,7.775
1,1,48.0,0,0,259.292
1,2,5.0,1,2,27.75
0,3,29.0,1,1,104.625
0,3,25.0,0,0,77.417
0,2,25.0,0,0,13
0,3,32.0,0,0,7.925
1,3,31.0,0,0,7.925
0,1,21.0,0,1,772.875
0,3,26.0,2,0,86.625
1,3,16.0,0,0,7.75
0,3,25.0,0,0,7.65
0,3,39.0,0,0,7.925
0,3,18.0,0,0,7.775
1,1,31.0,0,2,1.648.667
0,2,51.0,0,0,12.525
0,3,51.0,0,0,8.05
0,2,30.0,0,0,13
0,1,56.0,0,0,306.958
1,3,23.0,0,0,7.55
0,3,36.0,0,0,0
0,3,30.0,0,0,8.05
0,1,60.0,0,0,26.55
1,1,49.0,1,0,767.292
0,2,16.0,0,0,10.5
0,2,60.0,1,1,39
0,3,19.0,0,0,78.958
1,1,35.0,0,0,5.123.292
0,3,11.0,4,2,31.275
1,3,44.0,0,0,7.925
0,3,18.0,0,0,7.75
0,3,26.0,0,0,78.958
0,2,29.0,0,0,10.5
1,3,27.0,0,2,111.333
0,3,49.0,0,0,0
0,1,58.0,0,0,29.7
0,3,40.0,1,1,15.5
0,3,40.0,1,0,9.475
0,3,15.0,1,1,72.292
1,3,24.0,0,3,192.583
0,3,14.0,0,0,78.542
1,3,20.0,0,0,72.292
1,3,17.0,4,2,7.925
0,3,19.0,0,0,7.65
0,3,50.0,0,0,8.05
1,2,40.0,0,0,13
0,1,39.0,0,0,0
0,3,40.5,0,0,7.75
1,3,39.0,0,0,7.925
1,1,42.0,0,0,262.875
0,3,22.0,0,0,8.05
0,2,48.0,0,0,13
1,2,22.0,1,2,415.792
1,1,26.0,0,0,78.85
1,1,24.0,0,0,495.042
0,3,35.0,0,0,7.05
0,3,19.0,0,0,101.708
0,3,33.0,0,0,9.5
0,1,61.0,0,0,33.5
1,1,18.0,2,2,262.375
0,2,25.0,0,0,13
0,2,27.0,1,0,21
1,3,6.0,0,1,12.475
0,2,70.0,0,0,10.5
1,1,22.0,0,1,55
0,2,16.0,0,0,26
0,2,31.0,0,0,10.5
0,1,44.0,2,0,90
1,1,36.0,0,0,262.875
0,3,39.0,1,5,31.275
1,1,35.0,1,0,52
0,3,29.0,0,0,8.05
0,3,33.0,0,0,78.958
1,1,19.0,0,2,262.833
0,3,21.0,0,0,77.333
1,1,19.0,0,0,30
1,3,15.0,0,0,7.225
1,2,34.0,1,1,32.5
0,3,34.5,0,0,64.375
0,3,17.0,0,0,86.625
0,1,40.0,0,0,0
0,3,11.0,5,2,46.9
0,3,22.0,0,0,7.125
1,1,54.0,1,0,59.4
0,3,36.0,0,0,78.958
0,3,25.0,0,0,7.05
0,3,28.0,1,0,15.85
1,2,45.0,1,1,26.25
0,3,28.0,1,1,14.4
0,3,22.0,0,0,78.958
1,1,30.0,0,0,86.5
0,3,37.0,2,0,7.925
1,1,44.0,0,1,579.792
0,1,37.0,1,0,53.1
0,2,25.0,1,0,26
0,2,27.0,0,0,13
0,3,40.0,0,0,78.958
0,1,33.0,0,0,5
0,3,26.0,0,0,7.775
0,3,33.0,0,0,86.625
1,3,18.0,0,1,9.35
0,1,47.0,0,0,340.208
1,3,35.0,1,1,20.25
1,1,11.0,1,2,120
0,3,11.0,0,0,187.875
0,3,22.0,0,0,9.35
1,1,52.0,1,1,93.5
1,1,36.0,0,2,71
0,3,24.0,0,0,74.958
1,2,30.0,0,0,12.35
0,3,34.0,0,0,8.05
1,2,8.0,0,2,26.25
1,2,0.83,0,2,29
1,1,36.0,0,1,5.123.292
1,2,55.0,0,0,16
0,1,61.0,0,0,323.208
0,3,18.0,0,0,8.3
1,1,32.0,0,0,762.917
1,1,17.0,0,2,1.108.833
0,3,32.0,0,0,7.925
0,2,19.0,0,0,10.5
1,2,28.0,1,0,26
1,3,30.0,0,0,9.5
0,3,29.0,0,4,21.075
0,3,25.0,0,0,78.958
1,3,63.0,0,0,95.875
1,1,35.0,0,0,1.356.333
1,3,16.0,0,0,77.333
1,1,36.0,0,0,263.875
1,1,18.0,1,0,227.525
0,2,21.0,0,0,73.5
0,3,59.0,0,0,7.25
0,3,16.0,1,1,20.25
1,1,38.0,0,0,227.525
1,1,58.0,0,0,1.465.208
0,3,17.0,0,0,86.625
1,1,37.0,1,1,525.542
1,3,33.0,3,0,15.85
0,3,2.0,4,1,29.125
1,1,39.0,1,1,831.583
0,3,17.0,1,1,72.292
0,3,41.0,0,5,396.875
0,3,36.0,1,1,24.15
1,2,36.0,0,0,13
0,3,20.0,0,0,98.458
1,2,24.0,2,3,18.75
0,3,32.0,1,0,15.85
1,1,38.0,0,0,80
0,3,29.0,0,0,7.875
1,2,35.0,0,0,21
0,3,18.0,0,0,6.75
0,3,19.0,0,0,78.958
1,1,42.0,1,0,525.542
0,1,19.0,3,2,263
0,3,33.0,1,1,20.525
1,2,40.0,1,1,39
1,3,27.0,0,0,6.975
0,3,37.0,0,0,95.875
0,3,24.5,0,0,8.05
0,3,28.0,0,0,564.958
0,2,42.0,1,0,27
0,2,30.0,0,0,13
1,1,49.0,1,0,569.292
0,2,43.0,1,1,26.25
0,3,20.0,0,0,7.05
1,2,24.0,2,1,27
0,1,18.0,1,0,108.9
0,1,50.0,0,0,287.125
0,3,19.0,0,0,7.775
0,2,54.0,0,0,14
0,3,16.0,0,0,8.05
0,3,32.0,0,0,78.958
0,3,26.0,0,0,78.875
1,1,32.0,0,0,30.5
0,2,24.0,2,0,73.5
1,2,48.0,1,2,65
0,2,30.0,0,0,13
0,3,17.0,1,0,70.542
0,2,23.0,0,0,10.5
0,3,32.0,0,0,83.625
1,1,38.0,1,0,712.833
0,3,16.0,5,2,46.9
0,3,22.0,0,0,105.167
0,3,20.0,0,0,86.625
0,2,47.0,0,0,15
0,3,2.0,0,1,104.625
0,3,23.5,0,0,72.292
0,2,32.0,2,0,73.5
1,2,28.0,0,0,13
0,1,24.0,0,0,79.2
0,3,47.0,0,0,7.25
1,2,50.0,0,1,26
0,1,58.0,0,2,113.275
1,1,35.0,0,0,262.875
0,2,39.0,0,0,26
0,2,31.0,1,1,26.25
0,2,31.0,1,1,370.042
1,3,27.0,0,0,7.925
1,2,29.0,0,0,10.5
1,2,24.0,1,0,26
0,3,45.0,1,4,27.9
0,2,33.0,0,0,12.275
0,3,14.0,4,1,396.875
0,2,34.0,0,0,13
1,1,33.0,1,0,90
0,2,24.0,0,0,13
0,3,26.0,0,0,78.958
0,3,74.0,0,0,7.775
0,1,51.0,0,1,613.792
0,3,24.0,0,0,8.85
0,3,30.0,0,0,78.958
0,2,28.0,0,0,13.5
1,1,21.0,0,0,779.583
1,1,30.0,0,0,569.292
1,1,14.0,1,2,120
0,2,59.0,0,0,13.5
0,1,46.0,0,0,79.2
1,1,16.0,0,0,86.5
1,1,33.0,0,0,86.5
0,3,48.0,1,3,34.375
0,3,2.0,3,1,21.075
0,3,43.0,0,0,8.05
0,3,1.0,4,1,396.875
1,2,2.0,1,1,26
0,3,20.0,0,0,8.05
1,3,4.0,0,2,22.025
0,3,23.0,0,0,78.958
1,1,45.0,1,1,1.648.667
1,2,34.0,0,1,23
1,1,45.0,0,0,26.55
1,1,36.0,1,2,120
0,3,31.0,0,0,78.542
0,3,30.5,0,0,8.05
0,2,44.0,1,0,26
0,1,64.0,1,4,263
0,3,19.0,0,0,8.05
1,2,28.0,1,0,24
0,3,20.0,0,0,9.5
1,3,24.0,0,2,16.7
0,3,23.0,0,0,78.542
0,3,42.0,0,1,84.042
0,3,30.0,0,0,7.225
0,3,25.0,1,0,17.8
0,3,21.0,0,0,84.333
0,3,19.0,0,0,14.5
0,1,54.0,0,1,772.875
0,1,71.0,0,0,346.542
1,2,33.0,0,2,26
0,3,28.0,0,0,77.958
1,2,30.0,3,0,21
0,1,55.0,0,0,30.5
0,3,20.0,0,0,86.625
1,2,17.0,0,0,10.5
1,2,3.0,1,2,415.792
1,2,1.0,2,1,39
1,2,50.0,0,0,10.5
0,3,28.0,2,0,7.925
0,3,33.0,0,0,86.542
1,2,42.0,1,0,26
0,3,8.0,3,1,21.075
1,3,12.0,1,0,112.417
1,1,16.0,0,1,579.792
0,3,22.0,0,0,72.292
0,3,23.0,0,0,7.925
1,3,4.0,1,1,16.7
0,2,24.0,0,0,10.5
0,3,14.0,5,2,46.9
0,1,28.0,1,0,821.708
0,3,20.5,0,0,7.25
0,2,34.0,1,0,21
1,3,32.0,0,0,7.925
0,2,57.0,0,0,10.5
1,1,30.0,0,0,31
1,3,32.0,0,0,78.542
1,1,17.0,1,0,108.9
1,2,40.0,0,0,15.75
1,3,1.0,0,2,157.417
0,3,25.0,0,0,7.775
1,1,60.0,1,1,79.2
0,3,55.5,0,0,8.05
0,3,70.5,0,0,7.75
1,1,33.0,1,0,53.1
1,3,32.0,0,0,8.05
0,3,18.0,2,0,18
0,3,18.0,1,1,202.125
1,2,41.0,0,1,19.5
0,2,21.0,1,0,11.5
1,2,28.0,0,0,12.65
0,3,9.0,2,2,34.375
1,2,3.0,1,1,26
0,3,47.0,1,0,14.5
0,1,29.0,1,0,66.6
1,1,60.0,1,0,75.25
0,3,14.5,1,0,144.542
1,3,3.0,1,1,15.9
0,1,31.0,0,0,504.958
1,2,34.0,0,0,10.5
0,2,23.0,2,1,11.5
1,1,22.0,0,0,151.55
0,1,65.0,0,1,619.792
0,3,45.0,0,1,144.542
1,2,19.0,0,0,26
0,3,20.0,0,0,78.542
0,1,27.0,0,2,211.5
1,1,80.0,0,0,30
1,1,31.0,1,0,57
1,1,35.0,1,0,53.1
1,3,22.0,0,0,7.225
1,1,53.0,2,0,514.792
0,3,22.0,0,0,98.375
1,1,30.0,0,0,93.5
1,3,19.0,0,0,8.05
1,1,40.0,0,0,1.534.625
0,2,32.0,0,0,10.5
0,3,16.0,0,0,7.775
0,3,44.0,0,0,8.05
0,1,49.0,1,1,1.108.833
0,3,25.0,1,0,7.925
1,3,22.0,0,0,7.25
1,2,32.0,0,0,13
0,3,21.0,0,0,7.75
0,3,31.0,0,0,7.775
1,3,26.0,0,0,7.925
0,3,8.0,4,1,29.125
0,1,30.0,0,0,27.75
0,3,30.0,0,0,8.05
1,2,18.0,0,2,13
0,3,28.0,0,0,78.958
0,3,22.0,0,0,75.208
0,2,54.0,0,0,26
1,3,25.0,0,0,0
1,1,23.0,1,0,113.275
1,3,18.0,0,0,8.05
1,3,31.0,0,0,86.833
0,3,22.0,0,0,8.05
1,2,19.0,1,0,26
0,3,41.0,2,0,141.083
0,1,45.0,1,0,83.475
0,3,20.0,0,0,7.925
0,2,25.0,0,0,13
1,3,5.0,4,2,313.875
0,3,45.0,0,0,6.975
1,3,14.0,1,0,112.417
1,2,0.83,1,1,18.75
0,2,18.0,0,0,13
0,2,19.0,1,1,36.75
0,2,18.0,0,0,11.5
1,1,18.0,0,2,79.65
1,1,48.0,1,0,52
0,1,24.0,0,1,2.475.208
1,3,27.0,0,0,77.958
1,1,27.0,0,0,30.5
0,3,38.0,0,0,86.625
0,3,45.0,0,0,7.75
0,3,22.0,0,0,7.25
1,1,47.0,1,1,525.542
0,3,10.0,0,2,24.15
0,3,21.0,0,0,86.625
0,2,66.0,0,0,10.5
1,3,45.0,0,0,8.05
0,1,45.0,0,0,26.55
0,3,26.0,1,0,16.1
0,3,29.0,0,0,94.833
0,3,20.0,0,0,9.225
1,3,16.0,0,0,8.05
1,2,4.0,2,1,39
0,3,16.0,2,0,18
1,3,24.0,0,0,71.417
0,2,21.0,2,0,73.5
0,1,28.0,0,0,47.1
0,2,34.0,1,0,21
1,3,36.0,1,0,17.4
0,3,21.0,0,0,7.25
0,3,28.0,0,0,78.958
1,1,36.0,1,2,120
1,3,29.0,0,0,78.958
1,2,36.0,1,0,26
0,3,2.0,3,2,27.9
0,1,52.0,1,1,79.65
1,2,34.0,0,0,13
0,3,39.0,0,5,29.125
1,2,36.0,0,0,13
1,1,38.0,1,0,90
0,2,35.0,0,0,26
1,3,9.0,0,2,20.525
0,3,41.0,0,0,7.125
1,2,27.0,0,0,10.5
1,1,58.0,0,1,1.534.625
0,3,27.0,0,0,78.958
0,3,31.0,1,0,18
1,3,38.0,1,5,313.875
0,3,19.0,0,0,6.75
0,2,36.0,0,0,12.875
